nama_bandara,latitude,longitude,airport_code
Banyumas Airport,-6.464849948883057,105.96900177001952,WIAP
Sultan Syarif Kasim II International Airport / Roesmin Nurjadin AFB,0.458647,101.444321,PKU
Pinang Kampai Airport,1.609114,101.433492,DUM
Japura Airport,-0.352808,102.334999,RGT
Rokot Airport,-2.100349,99.704319,RKO
Sungai Pakning Bengkalis Airport,1.3700000047683716,102.13999938964844,SEQ
Sei Bati Airport,1.0527,103.3931,TJB
Kertajati International Airport,-6.648924,108.166692,KJT
Budiarto Airport,-6.293171,106.57,WICB
Husein Sastranegara International Airport,-6.90063,107.575996,BDO
Penggung Airport,-6.757,108.538849,CBN
Cibeureum Airport,-7.3466,108.246002,TSY
Hang Nadim International Airport,1.12103,104.119003,BTH
Pasir Pangaraan Airport,0.8454310297966003,100.37000274658205,PPR
Letung Airport,2.96447,105.75484,LMU
Matak Airport,3.34812,106.258003,MWK
Raja Haji Fisabilillah International Airport,0.922683000565,104.531997681,TNJ
Dabo Airport,-0.47918900847435,104.5790023803711,SIQ
Muko Muko Airport,-2.54186,101.087997,MPC
Halim Perdanakusuma International Airport,-6.266610145568848,106.89099884033205,HLP
Pondok Cabe Air Base,-6.336959838867188,106.76499938964844,PCB
Soekarno-Hatta International Airport,-6.1255698204,106.65599823,CGK
Kalijati Airport,-6.53139019012,107.658996582,WIIK
Radin Inten II International Airport,-5.246803,105.182531,TKG
Muhammad Taufiq Kiemas Airport,-5.211562,103.936501,TFY
Labuhan Bilik Airport,2.512900114059448,100.1790008544922,WIMA
Binaka Airport,1.16628,97.704327,GNS
Aek Godang Airport,1.4001,99.430496,AEG
Tabing Airport,-0.874989,100.351997,WIMG
Helvetia Airport,3.683059930801392,98.64420318603516,WIMH
Soewondo Air Force Base,3.558425,98.672275,MES
Kualanamu International Airport,3.637847,98.870566,KNO
Silangit Airport,2.25973,98.991898,DTB
Sibisa Airport,2.6666669845581,98.933334350586,SIW
Dr. Ferdinand Lumban Tobing Airport,1.557127,98.887145,FLZ
Tebing Tinggi Airport,3.3666670322418213,99.11666870117188,WIMT
Alas Leuser Airport,3.391456,97.863726,LSR
Bengkayang Airport,0.8333330154418945,109.48332977294922,WIOB
H A S Hanandjoeddin International Airport,-2.74572,107.754997,TJQ
Nanga Pinoh Airport,-0.34886899590492,111.74800109863,NPO
Singkawang Airport,1.0756800174713137,109.68800354003906,WIOI
Rahadi Osman Airport,-1.816845,109.963331,KTG
Ranai-Natuna Airport,3.90871,108.388,NTX
Supadio Airport,-0.150711,109.403999,PNK
Pangsuma Airport,0.8355780243873596,112.93699645996094,PSU
Sintang Airport,0.063851,111.473572,SQG
Sultan Thaha Airport,-1.63802,103.643997,DJB
Silampari Airport,-3.288165,102.91449,LLJ
Banding Agung Airport,-4.78702,103.932999,WIPD
Kuala Tungkal Airport,-0.8166670203208923,103.46666717529295,WIPF
Muara Bungo Airport,-1.1278,102.135,BUU
Depati Amir Airport,-2.1622,106.139,PGK
Fatmawati Soekarno Airport,-3.8637,102.338997,BKS
Gatot Subrato Airport,-4.391769886016846,104.4010009765625,WIPO
Sultan Mahmud Badaruddin II Airport,-2.897653,104.698147,PLM
Pendopo Airport,-3.2860701084136963,103.87999725341795,PDO
Minangkabau International Airport,-0.786917,100.280998,PDG
Bentayan Airport,-4.0225,103.379167,PXA
Teuku Cut Ali Airport,3.16904,97.288299,TPK
Maimun Saleh Airport,5.874668,95.33967,SBG
Cut Nyak Dhien Airport,4.040631,96.253538,MEQ
Lasikin Airport,2.410916,96.326766,WITG
Rembele Airport,4.72113,96.851943,TXE
Lhok Sukon Airport,5.069509983062744,97.25920104980467,LSX
Malikus Saleh Airport,5.226679801940918,96.95030212402344,LSW
Seumayam Airport,3.75,96.63333129882812,WITS
Sultan Iskandar Muda International Airport,5.522872024010001,95.42063713070002,BTJ
Mathilda Batlayeri Airport,-7.848354,131.337068,SXK
Buntok Airport,-1.73250997066,114.838996887,WRBU
AA Bere Tallo (Haliwen) Airport,-9.074841,124.903285,ABU
Mena Airport,-9.183889389038086,124.58916473388672,WRKJ
Larantuka Gewayentana Airport,-8.274424,123.002,LKA
Naikliu Airport,-9.49547004699707,123.79499816894533,WRKN
Sanggata/Sangkimah Airport,0.3847,117.543,SGQ
Long Bawan Airport,3.9028,115.6921,LBW
Bontang Airport,0.119691,117.474998,BXT
Nunukan Airport,4.13333333333,117.666666667,NNX
Tanah Grogot Airport,-1.885541,116.256809,TNB
Tanjung Bara Airport,0.5605,117.64435,WRLJ
